id,question1,question2,is_duplicate
1760,Zip Code,28090,1
1761,Telephone Number,09-10-18 afternoon,0
1762,Address,Jefferson Hills,1
1763,Through,09/10/18,0
1764,"If yes, on what date (mm/dd/yy)?",976 587 1052,0
1765,Date of Birth (mm/dd/yy),02 18 37,1
1766,"If yes, date hospitalized (mm/dd/yy):",Vaginal C-Section,0
1767,Gender,3711 LAUREL LANE,1
1768,Date of first visit for this condition (mm/dd/yy),,0
1769,Employee SSN:,DENNIS WHITE,1
1770,Zip Code,NORTH CAROLINA,1
1771,Secondary Dianosis:,Rotator Cuff Tear L-Shoulder,1
1772,Contingent beneficiary,704-538-8617,0
1773,4. Have you been hospitalized?,09-10-18,1
1774,Employee Name:,DENNIS WHITE,1
1775,"If you have not returned to work, when do you expect to return?",06 13 83,0
1776,Is the patient's condition due to injury or sickness involving the patient's employment?,L Shoulder Strain,1
1777,Where and how did the injury occur?,Turn rotator cuff,0
1778,Other Family Member:,914-890-5521,1
1779,Employee Name:,0,0
1780,Is this condition the result of an accidental injury?,"M25.562, S83.242D",0
1781,Full Time Part Time,,0
1782,State,60005,1
1783,Expected Delivery Date (mm/dd/yy),Yes,0
1784,"If yes, how much do you want withheld from each check? (whole dollar amount) $",'S',1
1785,Date of Birth,559 65 7651,1
1786,Home Address (Street/PO Box),DENNIS V. WHITE,1
1787,Signature,04-17-17,1
1788,Signature of Physician,'S',0
1789,MI,No,0
1790,City,01 28 75,0
1791,Work Telephone Number,5410796314,0
1792,Date,03-12-18,0
1793,Date of Birth (mm/dd/yy),'S',1
1794,Lanuage Preference,"Maroun, Marcus",0
1795,V,m25.512 m75.102,1
1796,Employer Name,Short Term Disability,0
1797,Telephone Number,B,0
1798,Procedure,,0
1799,(Telephone Number),432-561-1937,0
1800,Is the patient's condition work related?,"CRAIG, THOMAS",0
1801,Date Hospitalized (mm/dd/yy):,04-13-17,1
1802,Home Address (Street/PO Box),,0
1803,Cellular Telephone Number,830 763 2514,0
1804,What is the primary diagnosis preventing the patient from working?,L Shoulder Strain,1
1805,Customer #:,864053,1
1806,What is your medical condition?,Severe Pain,1
1807,Printed Name,"CLAUSEN, JOSEPH N.",0
1808,Home Address,,0
1809,Suffix,I was at work trying to lift a box of tools but it was a bit too heavy for me. My back felt a sharp pain afterwards,0
1810,Accident Policy Number,5410796314,1
1811,Work Phone #,55402,1
1812,Expected return to work date (mm/dd/yy):,,0
1813,Group Accident,"Employee, Spouse",1
1814,through (mm/dd/yy):,22505,0
1815,My Spouse:,432-561-1937,0
1816,"If no, do you intend to file a Workers' Compensation claim?",Yes,1
1817,through (mm/dd/yy),04-15-17,1
1818,Employee's Name (Last Name,(456) 672-5040,0
1819,Claimant Signature,'S',1
1820,Social Security Number,M51.26,0
1821,CURRENT LIMITATIONS (activities patient cannot do),,0
1822,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",CLAUSEN JOSEPH N,1
1823,Spouse DOB,491 22 7531,0
1824,Customer Number,192-78-2587,0
1825,Zip,EDGE WOOD,0
1826,Social Security Number,104028783,0
1827,Part Time (mm/dd/yy),No,0
1828,City,"Maroun, Marcus",0
1829,Occupation,,0
1830,Last Name,CLAUSEN,0
1831,Signature of Physician,No,0
1832,Signature,495 202 8689,1
1833,Degree,03 12 18,0
1834,MI,B,0
1835,Telephone No.,04-18-17,0
1836,Secodary ICD Code:,Yes,1
1837,"If yes, please explain",104 02 8783,0
1838,Insured's Signature,03-12-18,0
1839,Degree,MD,1
1840,Telephone Number,No,0
1841,Are you related to this patient?,2,0
1842,Gender,DENNIS V. WHITE,0
1843,Zip Code,LAWNDALE,0
1844,Medications (Please attach medication log),Physical therapy after Surgery and Pain meds.,0
1845,Have you advise the patient to return to work?,,0
1846,Have you stopped working?,,0
1847,Full Time (mm/dd/yy),No,0
1848,Customer Policy #:,494172,1
1849,Fax No.,(229) 460 6751,1
1850,"Employee Name (Last Name, Suffix, First Name, MI)",(229) 460 6725,0
1851,Date (mm/dd/yyyy),0,0
1852,C. Information About the Patient (if different from Insured/Policyholder) Check one:,CLAUSEN,1
1853,What is your medical condition?,04-13-17,0
1854,Date of Birth (mm/dd/yy),09-11-18,0
1855,Date of Visit/Admission (mm/dd/yy),04-13-17,1
1856,Fax No.,No,0
1857,Delivery Type:,,0
1858,"If yes, on what date (mm/dd/yy)?",No,1
1859,City,03-12-18- 04-09-18,0
1860,First Name,CLAUSEN,0
1861,Number of hours worked on date last worked,,0
1862,Date Hospitalized (mm/dd/yy):,Vaginal C-Section,1
1863,Date the injury occurred (mm/dd/yy),TX,0
1864,Occupation,LAWYER,1
1865,What is the name of your medical condition(s)?,104 02 8783,0
1866,MI,Accidental Injury,0
1867,"If yes, please explain how:",06 13 83,0
1868,Address,4462 Ritter Street,1
1869,Spouse DOB:,02-27-79,0
1870,Relationship,WIFE,0
1871,Preferred e-mail address (for confirmation purposes only),,0
1872,"If known, please check all type of coverage you have with Unum.",,0
1873,Spouse/Partner's Name,No,0
1874,Part-time hours per week,No,1
1875,Has the patient been treated for the same or a similar condition by another physician in the past?,No,1
1876,What is the primary diagnosis preventing the patient from working?,m25.512 m75.102,0
1877,Federal Income Tax:,(229) 460 6751,0
1878,Cost per pay period,4536 CONCORD STREET,0
1879,Gender,MARGARITA,0
1880,Facility Name,Jefferson Hills,0
1881,Customer #:,"SMITH, HEIDI , J.",0
1882,Language Preference,Short Term Disability,1
1883,Through,432 343 1836,0
1884,"Insured's Name (Last Name, Suffix, First Name, MI)",CLAUSEN JOSEPH N,0
1885,Primary ICD Code:,Vaginal C-Section,0
1886,EE Name:,669513,1
1887,City,06 13 87,0
1888,This claim is for:,S,0
1889,Date of next office visit (mm/dd/yy):,,0
1890,Delivery Type:,976 587 1052,1
1891,Has the patient been treated for the same/similar condition in the past?,104 02 8783,0
1892,What is the name of your medical condition(s)?,09-10-18,1
1893,Date Signed,,0
1894,"Patient Name (Last Name, First Name, MI, Suffix)","Maroun, Margarita B",1
1895,Did you advise your patient to stop working?,04-13-17,1
1896,Lanuage Preference,Group Short Term Disability,1
1897,Date of next office visit (mm/dd/yy):,09/10/18,0
1898,State,LAWNDALE,1
1899,"If yes, how much do you want withheld from each check? (whole dollar amount) $",No,0
1900,"If yes, has a Workers' Compensation claim been filed?",08 10 68,0
1901,MI,"Maroun, Marcus",0
1902,Gender,CLAUSEN,0
1903,Lanuage Preference,No,0
1904,Date (mm/dd/yyyy),07-14-2018,0
1905,"If yes, please provide treatment dates (mm/dd/yy): From",Unknown,1
1906,Home Address (Street/PO Box),F,0
1907,Date of Visit for this condition (mm/dd/yy),,0
1908,Relationship to Insured/Policyholder (check one),WHITE PLAINS,0
1909,"If the employee is released to return-to-work in restricted duty, are you willing to discuss accommodations?",Yes,1
1910,Signature,02 18 67,0
1911,"If your patient has CURRENT RESTRICTIONS (activities patient should not do) and/or LIMITATIONS (activities patient cannot do) list below. Please be specific and understand that a reply of ""no work"" or ""totally disabled"" will not enable us to evaluate your patient's claim for benefits and may result in us having to contact you for clarification.",No,0
1912,6. Have you retured to work?,No,0
1913,"If no, please explain why you are not filing a Workers' Compensation claim",Yes,0
1914,MI,,0
1915,Date of Hire (mm/dd/yy),11-16-2017,1
1916,IV,04-13-17,0
1917,Suffix,09-10-18 afternoon,0
1918,Employer Name,"CRAIG, THOMAS",0
1919,Patient's Height:,22505,0
1920,Date the injury occurred (mm/dd/yy),At work co-worker push back on me while turning shoulder,0
1921,Customer #:,,0
1922,"If yes, please explain",09/18/18,0
1923,Are you currently working with the Employer listed on this application?,Yes,1
1924,"2. For other than pregnancy, is your disability caused by",Herniated Disc,1
1925,Date Hospitalized (mm/dd/yy):,Yes,0
1926,Gender,,0
1927,What is your treatment plan?,Yes,0
1928,Is your claim pending a Workers' Compensation decision?,No,0
1929,Preferred e-mail address (for confirmation purposes only),I was at work trying to lift a box of tools but it was a bit too heavy for me. My back felt a sharp pain afterwards,0
1930,"Please explain how your accident happend. (If you need more space, please attach a separate sheet of paper).",No,1
1931,Social Security Number,m25.512 m75.102,0
1932,What symptoms is your patient reporting about his/her condition?,,0
1933,Social Security Number,40,0
1934,Is this condition the result of his/her employment,KY,0
1935,Date of Birth (mm/dd/yy),Yes,0
1936,Home Phone #,Newly Eligible,0
1937,What is the name of your medical condition(s)?,,0
1938,Medical Specialty,Blank,0
1939,Expected Delivery Date (mm/dd/yy):,976 587 1052,1
1940,"If yes, please explain how:",04-18-17,0
1941,City,No,0
1942,SS #:,02-27-79,0
1943,Actual Delivery Date (mm/dd/yy):,976 587 1052,1
1944,Date Signed,"CLAUSEN, JOSEPH N.",0
1945,Gender,NORTH CAROLINA,0
1946,please initial here,2,0
1947,2. Have you (applicant) or your spouse (if applying) been diagnosed with or received treatment for Acquired Immune Deficiency Syndrome (AIDS)?,07-14-2018,0
1948,State,Herniated Disc,0
1949,Relationship,40,1
1950,Suffix,JOSEPH,1
1951,Date of next examination (mm/dd/yy):,04-18-17,0
1952,Treating Physician Telephone Number,,0
1953,"If yes, what is the relationship",MD,0
1954,Medical Specialty,04-20-17,0
1955,What diagnostic or clinical findings support your diagnosis?,"No improvement despite medicine, injection and Theraphy",1
1956,SS #:,491 22 7531,1
1957,Secondary Diagnosis:,Yes,0
1958,ICD Code:,m25.512 m75.102,0
1959,Telephone No.,(456) 672-5040,1
1960,Date of Birth (mm/dd/yy),104 42 7346,1
1961,Fax Number,No,0
1962,Employee (Applicant) Signature,8,0
1963,through (mm/dd/yy),Yes,0
1964,Social Security Number,SELF,1
1965,Address,(456) 672-5040,0
1966,What are the other conditions that prevent the patient from working,04-13-17,0
1967,Degree,35203,0
1968,Number of Hours Worked on Date Last Worked,Turn rotator cuff,0
1969,Customer #:,"ROSEN , ALBERT , K",0
1970,Patient Telephone Number,No,0
1971,Social Security Number,Spanish,0
1972,Expected return to work date (mm/dd/yy):,2,0
1973,MI,01 28 75,1
1974,Was this a motor vehicle accident?,02 18 37,0
1975,First Name,EDITH,1
1976,Home Address (Street/PO Box),4536 CONCORD STREET,1
1977,Expected return to work date (mm/dd/yy):,Part Time,1
1978,Treating Physician Name,,0
1979,City,AL,1
1980,Zip,859-301-2663,1
1981,ICD Code:,No,1
1982,Printed Name,MARGARITA MARDUN,1
1983,Social Security Number,28090,0
1984,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",Arlington Heights,0
1985,DSM-IV: I,m25.512 m75.102,1
1986,"If no, please explain why you are not filing a Workers' Compensation claim",,0
1987,"Employee Name (Last Name, Suffix, First Name, MI)",Yes,0
1988,Printed Name,910-734-7634,0
1989,Home Address,1739 DEANS LANE,1
1990,Has the patient been hospitalized?,,0
1991,"If yes, on what date (mm/dd/yy)?",Vaginal C-Section,1
1992,Please check all types of coverage you have with Unum.,Injury,0
1993,Primary Diagnosis:,M51.26,1
1994,Employer Name,04-12-17,0
1995,Spouse/Partner's Name,07-01-66,1
1996,Date (mm/dd/yyyy),6,0
1997,Have you returned to work,Jefferson Hills,0
1998,Date of first visit for this pregnancy (mm/dd/yy):,Vaginal C-Section,1
1999,Address,Arlington Heights,1
2000,Is he/she employed?,No,1
2001,City,IL,0
2002,Employee's Name (Last Name,Yes,0
2003,Date Signed,04-15-17,0
2004,Name,495 202 8689,0
2005,State,Yes,0
2006,Degree/Specialty,Part Time,0
2007,through (mm/dd/yy):,09-10-18 afternoon,1
2008,Is this condition the result of an accidental injury?,Yes,0
2009,Date,"Clausen, Edith, S.",0
2010,State,06 13 87,0
2011,II,Unknown,0
2012,Application Type:,Yes,0
2013,Employer selected benefit[s],"Employee, Spouse",0
2014,"If yes, what type of delivery?",Got hurt on the job,0
2015,Have you advised the patient to return to work?,,0
2016,Physician Tax ID Number:,"Mullaney, Jason",0
2017,"If yes, please explain how:",Yes,1
2018,"If yes, on what date (mm/dd/yy)?",22505,0
2019,Preferred e-mail address (for confirmation purposes only),N,0
2020,Date Last Worked (mm/dd/yy),At work co-worker push back on me while turning shoulder,0
2021,CURRENT RESTRICTIONS (activities patient should not do),No driving Limited use of Left Shoulder,1
2022,Home Address,elmerfaranda83@yahoo.com,0
2023,Address,KY,0
2024,Social Security Number,HUSBAND,1
2025,"If no, when do you expect improvement in the patient's functional capacity?",MD,0
2026,Name of Person Completing Form,495 202 8689,1
2027,MI,Female,0
2028,Zip,432 343 1836,1
2029,Employer selected benefit[s],4536 CONCORD STREET,0
2030,Work Telephone Number,,0
2031,Relationship,09/21/1973,0
2032,Do you support your patient's return to work within the restrictions and limitations you provided?,04-20-17,0
2033,Patient's Weight,Vaginal C-Section,0
2034,Group Policy #:,"WILLOUGHBY, MARIA D.",0
2035,What is your treatment plan?,Percocel 51325,1
2036,Facility Name,04-15-17,0
2037,Date you were first unable to work due to this medical condition (mm/dd/yy),06 13 83,0
2038,"If yes, what procedure was performed?",Jefferson Hospital,0
2039,IV,m25.512 m75.102,0
2040,Federal Income Tax:,Yes,1
2041,Social Security Number,01 28 75,0
2042,"If known, please check all type of coverage you have with Unum.",01 28 75,0
2043,EE Name:,572617254,0
2044,Home Telephone Number,Torn rotator Cuff,0
2045,Telephone No.,Orthopedic,1
2046,"If the employee is released to return-to-work in restricted duty, are you willing to discuss accommodations?",,0
2047,Telephone Number,495 202 8689,1
2048,Customer Policy #:,,0
2049,Was this a motor vehicle accident?,,0
2050,Physician Signature,,0
2051,Group Accident,211085,0
2052,Does the spouse live in the US?,55402,0
2053,Date you were first treated by a physician (mm/dd/yy),Turn rotator cuff,0
2054,SS #:,572617254,1
2055,State,MINNEAPOLIS,1
2056,Physician Signature,'S',1
2057,Where and how did the injury occur?,3711 LAUREL LANE,0
2058,Language Preference,CLAUSEN,0
2059,Are you currently working with the Employer listed on this application?,704-538-8617,0
2060,Date Signed,'S',0
2061,Date Signed,104028783,0
2062,Date of Birth (mm/dd/yy),L Shoulder Strain,0
2063,Date of next examination (mm/dd/yy):,976 587 1052,0
2064,Other Family Member:,559-65-7651,0
2065,Date,,0
2066,Is the patient's condition work related?,,0
2067,Was surgery performed?,,0
2068,EE DOB:,491 22 7531,0
2069,Date of Visit/Admission (mm/dd/yy),Yes,0
2070,Employer Name,LAWNDALE,0
2071,Social Security Number,MEGHAN C BROWN,0
2072,Gender,04-13-17,0
2073,Language Preferences,,0
2074,State,04-15-17,0
2075,Delivery Type:,M51.26,0
2076,"If yes, have you received Workers' Compensation benefits for your occupational injury?",02 18 37,0
2077,Date of Hire (mm/dd/yy),211085,1
2078,Insured's Signature,'S',1
2079,Date of Birth (mm/dd/yy),905 331 8089,1
2080,Scheduled NUmber of Work Hours/week,Yes,1
2081,Primary beneficiary,40,1
2082,Employee (Applicant) Signature,No,1
2083,MI,S,0
2084,Zip,35203,1
2085,5. Last day you were at work (mm/dd/yy),,0
2086,MI,N,1
2087,Please list specific duties of your accupation/job are you unable to perform due to your medical condition?,Yes,1
2088,ft.,5,1
2089,Full Time Part Time,08 10 68,0
2090,Telephone Number where we can reach you,MAROUN,0
2091,Date of Birth (mm/dd/yy),4,0
2092,please initial here,"LIFTING, BENDING, SQUATTING, SITTING TOO LONG.",1
2093,Where there any complications causing you to stop work prior to your expected delivery date?,(456) 672-5040,0
2094,Date of next visit for this condition (mm/dd/yy),20,0
2095,(Telephone Number),Self,0
2096,Employee ID/Payroll #,"Employee, Spouse",0
2097,CURRENT LIMITATIONS (activities patient cannot do),Yes,0
2098,"If claim is for a child, please state your relationship to the child",Male,0
2099,Telephone Number,41017,0
2100,through (mm/dd/yy),Jefferson Hospital,1
2101,Social Security Number,704-538-8617,0
2102,Employer,"WILLOUGHBY, MARIA D.",1
2103,"If the employee is released to return-to-work in restricted duty, are you willing to discuss accommodations?",495 202 8689,0
2104,Date Signed,09-19-18,1
2105,Group Policy #:,860191,1
2106,Other Family Member:,432-561-1937,0
2107,"If yes, please explain how:",,0
2108,What percentage of the Short Term Disability benefit is taxable?,Yes,1
2109,Part-time hours per week:,No,0
2110,Date of first visit for this current condition(s) (mm/dd/yy):,432 343 1836,0
2111,"If yes, have you filed a Worker's Compensation claim?",Yes,1
2112,Date,"ARANDA, ELMER, F",0
2113,Part-time hours per day,'S',0
2114,Part-time hours per day,,0
2115,Degree/Specialty,,0
2116,Policyholder Signature,617-54-1889,0
2117,Degree,560 SOUTH LOOP ROAD,1
2118,Signature of Physician,958976877,0
2119,Social Security Number,4536 CONCORD STREET,1
2120,(Telephone Number),910-734-7634,0
2121,Date of last examination (mm/dd/yy):,559 65 7651,0
2122,Full Time (mm/dd/yy):,No,0
2123,EE DOB:,08-15-47,1
2124,Spouse DOB,08-15-47,1
2125,Other person:,432-561-1937,0
2126,Zip,03-12-18,0
2127,Date of Accident,,0
2128,Through,Unknown,1
2129,Where and how did the injury occur?,976 587 1052,0
2130,ICD Code:,905 331 8089,0
2131,What are the other conditions that prevent the patient from working,Surgery -Repair rotator cuff L-Shoulder,0
2132,Has the patient been treated for the same/similar condition in the past?,L Shoulder Strain,0
2133,"Please explain how your accident happend. (If you need more space, please attach a separate sheet of paper).",914 890 5521,0
2134,Employer Name,40,0
2135,"If yes, on what date (mm/dd/yy)?","No improvement despite medicine, injection and Theraphy",0
2136,Is this a work related injury or accident?,,0
2137,Home Address,Severe Pain,0
2138,Date od Birth (mm/dd/yy),,0
2139,Date of Visit/Admission (mm/dd/yy),Pre Opt,1
2140,Date of Accident,03-11-18,1
2141,Did you advise your patient to stop working?,Surgery -Repair rotator cuff L-Shoulder,0
2142,Marital Status:,,0
2143,Date of Birth (mm/dd/yy),M51.26,0
2144,Provider Name,(456) 672-5040,0
2145,Have you advise the patient to return to work?,Full Time,1
2146,Where and how did the injury occur?,04-12-17,1
2147,"If yes, what procedure was performed?",04-13-17,1
2148,Address,No,0
2149,Zip,41017,1
2150,What were your first symptoms,TX,0
2151,Time of Accident,p.m.,1
2152,What is your expected delivery date? (mm/dd/yy),Yes,0
2153,Gender,IL,1
2154,"If related to an injury, where and how did the injury occur?",104 02 8783,0
2155,Number of Hours Worked on Date Last Worked,,0
2156,Did you advice your patient to stop working?,09/10 - 09/18/18,1
2157,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",02 18 67,1
2158,Group Policy #:,494172,1
2159,Date of Birth (mm/dd/yy),02 18 67,1
2160,What diagnostic or clinical findings support your diagnosis?,No,0
2161,"Patient's Name (Last Name, First Name, MI, Suffix)",,0
2162,Please check all types of coverage you have with Unum,English,0
2163,EE DOB:,"HAYES, PAMELA, A",0
2164,Confinement Dates: (mm/dd/yy),03-12-18,1
2165,Employee (Applicant) Signature,'S',1
2166,Cellular Telephone Number,915 704 8912,1
2167,State,Orthopedic,0
2168,Fax Number,495 202 8689,1
0,Secondary Diagnosis:,M51.26,1
1,Other person:,914-890-5521,0
2,The State in which you work,Herniated Disc,0
3,[Optional Employee selected benefit],,0
4,Language Preferences,English,1
5,Provider Name,Got hurt on the job,0
6,Degree,Yes,0
7,Are you currently self-employed,No,1
8,State,(456) 672-5040,0
9,through (mm/dd/yy):,,0
10,Part Time (mm/dd/yy),,0
11,"If yes, as of what date? (mm/dd/yy)",Blank,1
12,Printed Name,617-54-1889,1
13,"Name of Patient (Last Name, Suffix, First Name, MI)",Vaginal C-Section,0
14,Facility Name,,0
15,Home Telephone Number,432 343 1836,0
16,Where and how did the injury occur?,5,0
17,"If yes, what is the relationship?",'S',1
18,through (mm/dd/yy):,12-18-18,0
19,"If yes, as of what date? (mm/dd/yy)",03 12 18,1
20,"Insured's Name (Last Name, Suffix, First Name, MI)",,0
21,Actual Delivery Date (mm/dd/yy,"LARKIN , MATTHEW J.",1
22,Where and how did the injury occur?,At work co-worker push back on me while turning shoulder,1
23,"Employee Name (Last Name, Suffix, First Name, MI)",,0
24,Zip,60005,1
25,Were there any complications causing your patient to stop working prior to her expected delivery date?,,0
26,Date you were first treated by a physician (mm/dd/yy),04-13-17,0
27,Actual Delivery Date (mm/dd/yy):,L 4-5 disc herniation resulting in R Ls radiculopathy,0
28,Where there any complications causing you to stop work prior to your expected delivery date?,06 13 83,1
29,"Patient's Name (Last Name, First Name, MI, Suffix)",256-293-5095,0
30,Home Phone #,09/21/1973,0
31,City,TX,1
32,Does the spouse live in the US?,emp928212,0
33,Date of next office visit (mm/dd/yy):,No,0
34,Apt. #,432 343 1836,0
35,Address,04-13-17,1
36,"If yes, how much do you want withheld from each check? (whole dollar amount)$",No,0
37,Degree,04-20-17,0
38,First Name,541 997 2817,0
39,"Employee/Individual's Name (Last Name, Suffix, First Name, MI)",,0
40,Facility Name,Yes,0
41,First Name,Spouse,0
42,MI,josephNclausen@jour.com,0
43,"If claim is for a child, please state your relationship to the child",Spouse,0
44,Provider Name,04-18-17,0
45,Date of next visit for this condition (mm/dd/yy),(456) 672-5040,1
46,Physician's Tax ID Number:,"Champman, Roger, J.",0
47,[Optional Employee selected benefit],211085,0
48,Have you advised the patient to return to work?,Yes,1
49,"If yes, as of what date? (mm/dd/yy)",,0
50,Physician Signature,"LARKIN , MATTHEW J.",0
51,Date of Birth (mm/dd/yyyy),Yes,1
52,"If yes, as of (mm/dd/yy):",04-20-17,1
53,MI,02 18 37,0
54,What are the other conditions that prevent the patient from working,m25.512 m75.102,1
55,"If yes, on what date (mm/dd/yy)?",m25.512 m75.102,0
56,Date of Birth,06 13 83,1
57,Number of Hours Worked on Date Last Worked,541 997 2817,0
58,Where there any complications causing you to stop work prior to your expected delivery date?,Got hurt on the job,0
59,"If yes, how much do you want withheld from each check? (whole dollar amount)$",09-18-18,0
60,State,KY,1
61,Other Family Member:,914-890-5521,0
62,Where there any complications causing you to stop work prior to your expected delivery date?,,0
63,Zip,AL,0
64,Home Telephone Number,m25.512 m75.102,0
65,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",Limited Use of Left Shoulder,0
66,"If yes, have you filed a Worker's Compensation claim?",20115,0
67,"If yes, what is the relationship",Full Time,0
68,Other Family Member:,910-734-7634,1
69,"Patient's Name (Last Name, First Name, MI, Suffix)",06 13 87,1
70,Date,"CLAUSEN, JOSEPH N.",1
71,Home Telephone Number,04-13-17,0
72,Date of first visit for this pregnancy (mm/dd/yy):,No,0
73,Has the patient been treated for the same or a similar condition by another physician in the past?,,0
74,Date the injury occurred (mm/dd/yy),04-12-17,0
75,What is your treatment plan?,Physical therapy after Surgery and Pain meds.,1
76,Customer Policy #:,669513,0
77,Employer Name,,0
78,"Physical Name (Last Name, First Name, MI, Suffix) Please Print","Champman, Roger, J.",1
79,Date of Birth (mm/dd/yy),432 343 1836,1
80,Signature of Physician,'S',1
81,please initial here,11/20/18,0
82,Telephone No.,No,0
83,Last Name,TX,0
84,"If yes, please explain","5'6""",0
85,"Patient's Name (Last Name, Suffix, First Name, MI)",Yes,0
86,Date of Accident,5:30,1
87,Were there any complications causing your patient to stop working prior to her expected delivery date?,Yes,0
88,Date,03-12-18,1
89,"If yes, please provide treatment dates (mm/dd/yy): From",432 343 1836,0
90,Gender,Turn rotator cuff,0
91,Please check the type of claim you re filing:,03-11-18,0
92,Date of Birth (mm/dd/yy),MATTHEW J. LARKIN,1
93,5. Last day you were at work (mm/dd/yy),4,1
94,Gender,COYANOSA,0
95,Employee Name:,704-538-8617,0
96,Relationship,MINNESOTA,0
97,Spouse/Partner's Date of Birth (mm/dd/yy),,0
98,(Telephone Number),432-561-1937,1
99,"If yes, date hospitalized (mm/dd/yy):",04-13-17,1
100,Other person,,0
101,Work Telephone Number,JOSEPH,0
102,"If yes, what is the relationship",'S',1
103,Full Time (mm/dd/yy),Yes,0
104,Date Hospitalized (mm/dd/yy):,04-13-17,0
105,Contingent beneficiary,WIFE,1
106,Fax Number,958976877,1
107,What is the name of your medical condition(s)?,No,0
108,5. Last day you were at work (mm/dd/yy),Marshall,0
109,Zip Code,MINNESOTA,1
110,"If no, when do you expect improvement in the patient's functional capacity?","Champman, Roger, J.",1
111,City,Wellness,0
112,Date of Birth (mm/dd/yy),2748 ROCKET DRIVE,0
113,MI,ARANDA,0
114,Cellular Telephone Number,830 763 2514,1
115,Telephone Number,456-672-5040,1
116,Date of Birth (mm/dd/yyyy),09/21/1973,1
117,Mailing Address,Jefferson Hospital,0
118,Diagnosis:,'S',0
119,Provider Name,4462 Ritter Street,1
120,5. Last day you were at work (mm/dd/yy),09-10-18 afternoon,1
121,Printed Name,"CLAUSEN, JOSEPH N.",1
122,First Name,MARGARITA,1
123,"If related to an injury, where and how did the injury occur?",Yes,1
124,City,WHITE PLAINS,1
125,Date of first visit for this condition (mm/dd/yy),09-10-18,1
126,What were your first symptoms,04-13-17,0
127,Physician Tax ID Number:,Arlington Heights,0
128,Home Telephone Number,Yes,0
129,Group Policy #:,669513,0
130,Physician Signature,03 11 18,0
131,Telephone Number,1557 Edgewood Ave,0
132,Printed Name,Self,0
133,Employer:,139894,0
134,"Name of Patient (Last Name, Suffix, First Name, MI)",22505,0
135,State,859-301-2663,0
136,Number of Hours Worked on Date Last Worked,5,1
137,CURRENT RESTRICTIONS (activities patient should not do),8,0
138,What were your first symptoms,04-12-17,1
139,Printed Name,104028783,1
140,Has the patient been hospitalized?,15025,0
141,Part Time (mm/dd/yy),No,1
142,Customer Number,211085,1
143,Date od Birth (mm/dd/yy),Yes,1
144,"If yes, please explain how the work related injury/illness occurred:",08 10 68,0
145,Part Time (mm/dd/yy),(229) 460 6751,0
146,Home Telephone Number,Rotator Cuff Tear L-Shoulder,0
147,Zip,11/20/18,0
148,Relationship to Insured/Policyholder (check one),CLAUSEN,0
149,Provider Name,Pre Opt,0
150,Employer Name,"Craig, Thomas G.",1
151,Employee ID/Payroll #,704-538-8617,1
152,"If related to an injury, where and how did the injury occur?",No,0
153,Customer #:,491 22 7531,1
154,EE DOB:,,0
155,State,Part Time,0
156,"If claim is for a child, please state your relationship to the child",03-11-18,1
157,Date of Birth (mm/dd/yy),04-17-17,0
158,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",Part Time,0
159,What diagnostic or clinical findings support your diagnosis?,,0
160,City,,0
161,Has the patient been hospitalized?,"CRAIG, THOMAS",0
162,Home Address,Marga.br@chammy.info,0
163,"If you have not returned to work, when do you expect to return?",No,1
164,Full Time (mm/dd/yy),No,1
165,"Name (First, Middle, Last)",F,0
166,State,06 13 83,0
167,Social Security Number,910-734-7634,0
168,EE Name:,139894,1
169,Telephone No.,(229) 460 6725,1
170,Please provide the duration of these restrictions and limitations. From (mm/dd/yy):,Yes,0
171,Social Security Number,04-12-17,0
172,Has the patient been treated for the same/similar condition in the past?,Unknown,1
173,State Income Tax,No,0
174,Is the claim the result of a work related injury or illness?,Yes,1
175,"If yes, has a Workers' Compensation claim been filed?",,0
176,3. Is your condition work related?,,0
177,"If yes, please explain:",,0
178,Physician Tax ID Number:,09/20/18,0
179,Preferred e-mail address (for confirmation purposes only),josephNclausen@jour.com,1
180,"Name (First, Middle, Last)",DOROTHY R WHITE,1
181,Employer Name,04-13-17,0
182,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",559-297-8517,0
183,What is your medical condition?,,0
184,Please list specific duties of your accupation/job are you unable to perform due to your medical condition?,(256) 293-5095,0
185,"If yes, please explain",09-10-18,1
186,Apt. #,04-12-17,0
187,"If yes, what is the relationship",03 12 18,0
188,Part-time hours per day,2,1
189,Date of first visit for this current condition(s) (mm/dd/yy):,09-10-18,1
190,Date you were first treated by a physician (mm/dd/yy),,0
191,MI,MARIA D. WILLOUGHBY,0
192,Expected Delivery Date (mm/dd/yy):,m75.102,0
193,"2. For other than pregnancy, is your disability caused by",,0
194,Policyholder Signature,03-12-18,1
195,Part-time hours per week,No,0
196,What were your first symptoms,ARANDA,0
197,Did you advice your patient to stop working?,Yes,1
198,Have you stopped working?,S,0
199,What is the primary diagnosis preventing the patient from working?,m25.512 m75.102,1
200,"If yes, please provide restrictions and limitations",Unknown,0
